L,J,nsteps,nth,nspin,n,file
6,0.0,4900000,4900000,1225,100,L6_J0.0.txt
6,0.1,4900000,4900000,1225,100,L6_J0.1.txt
6,0.2,4900000,4900000,1225,100,L6_J0.2.txt
6,0.3,4900000,4900000,1225,100,L6_J0.3.txt
6,0.4,4900000,4900000,1225,100,L6_J0.4.txt
6,0.5,4900000,4900000,1225,100,L6_J0.5.txt
6,0.6,4900000,4900000,1225,100,L6_J0.6.txt
6,0.7,4900000,4900000,1225,100,L6_J0.7.txt
6,0.8,4900000,4900000,1225,100,L6_J0.8.txt
6,0.9,4900000,4900000,1225,100,L6_J0.9.txt
6,1.0,4900000,4900000,1225,100,L6_J1.0.txt
6,1.1,4900000,4900000,1225,100,L6_J1.1.txt
6,1.2,4900000,4900000,1225,100,L6_J1.2.txt
6,1.3,4900000,4900000,1225,100,L6_J1.3.txt
6,1.4,4900000,4900000,1225,100,L6_J1.4.txt
8,0.0,5346000,5346000,2673,100,L8_J0.0.txt
8,0.1,5346000,5346000,2673,100,L8_J0.1.txt
8,0.2,5346000,5346000,2673,100,L8_J0.2.txt
8,0.3,5346000,5346000,2673,100,L8_J0.3.txt
8,0.4,5346000,5346000,2673,100,L8_J0.4.txt
8,0.5,5346000,5346000,2673,100,L8_J0.5.txt
8,0.6,5346000,5346000,2673,100,L8_J0.6.txt
8,0.7,5346000,5346000,2673,100,L8_J0.7.txt
8,0.8,5346000,5346000,2673,100,L8_J0.8.txt
8,0.9,5346000,5346000,2673,100,L8_J0.9.txt
8,1.0,5346000,5346000,2673,100,L8_J1.0.txt
8,1.1,5346000,5346000,2673,100,L8_J1.1.txt
8,1.2,5346000,5346000,2673,100,L8_J1.2.txt
8,1.3,5346000,5346000,2673,100,L8_J1.3.txt
8,1.4,5346000,5346000,2673,100,L8_J1.4.txt
10,0.0,4961000,4961000,4961,100,L10_J0.0.txt
10,0.1,4961000,4961000,4961,100,L10_J0.1.txt
10,0.2,4961000,4961000,4961,100,L10_J0.2.txt
10,0.3,4961000,4961000,4961,100,L10_J0.3.txt
10,0.4,4961000,4961000,4961,100,L10_J0.4.txt
10,0.5,4961000,4961000,4961,100,L10_J0.5.txt
10,0.6,4961000,4961000,4961,100,L10_J0.6.txt
10,0.7,4961000,4961000,4961,100,L10_J0.7.txt
10,0.8,4961000,4961000,4961,100,L10_J0.8.txt
10,0.9,4961000,4961000,4961,100,L10_J0.9.txt
10,1.0,4961000,4961000,4961,100,L10_J1.0.txt
10,1.1,4961000,4961000,4961,100,L10_J1.1.txt
10,1.2,4961000,4961000,4961,100,L10_J1.2.txt
10,1.3,4961000,4961000,4961,100,L10_J1.3.txt
10,1.4,4961000,4961000,4961,100,L10_J1.4.txt
12,0.0,2484300,2484300,8281,100,L12_J0.0.txt
12,0.1,2484300,2484300,8281,100,L12_J0.1.txt
12,0.2,2484300,2484300,8281,100,L12_J0.2.txt
12,0.3,2484300,2484300,8281,100,L12_J0.3.txt
12,0.4,2484300,2484300,8281,100,L12_J0.4.txt
12,0.5,2484300,2484300,8281,100,L12_J0.5.txt
12,0.6,2484300,2484300,8281,100,L12_J0.6.txt
12,0.7,2484300,2484300,8281,100,L12_J0.7.txt
12,0.8,2484300,2484300,8281,100,L12_J0.8.txt
12,0.9,2484300,2484300,8281,100,L12_J0.9.txt
12,1.0,2484300,2484300,8281,100,L12_J1.0.txt
12,1.1,2484300,2484300,8281,100,L12_J1.1.txt
12,1.2,2484300,2484300,8281,100,L12_J1.2.txt
12,1.3,2484300,2484300,8281,100,L12_J1.3.txt
12,1.4,2484300,2484300,8281,100,L12_J1.4.txt
14,0.0,1282500,1282500,12825,100,L14_J0.0.txt
14,0.1,1282500,1282500,12825,100,L14_J0.1.txt
14,0.2,1282500,1282500,12825,100,L14_J0.2.txt
14,0.3,1282500,1282500,12825,100,L14_J0.3.txt
14,0.4,1282500,1282500,12825,100,L14_J0.4.txt
14,0.5,1282500,1282500,12825,100,L14_J0.5.txt
14,0.6,1282500,1282500,12825,100,L14_J0.6.txt
14,0.7,1282500,1282500,12825,100,L14_J0.7.txt
14,0.8,1282500,1282500,12825,100,L14_J0.8.txt
14,0.9,1282500,1282500,12825,100,L14_J0.9.txt
14,1.0,1282500,1282500,12825,100,L14_J1.0.txt
14,1.1,1282500,1282500,12825,100,L14_J1.1.txt
14,1.2,1282500,1282500,12825,100,L14_J1.2.txt
14,1.3,1282500,1282500,12825,100,L14_J1.3.txt
14,1.4,1282500,1282500,12825,100,L14_J1.4.txt
16,0.0,375700,375700,18785,100,L16_J0.0.txt
16,0.1,375700,375700,18785,100,L16_J0.1.txt
16,0.2,375700,375700,18785,100,L16_J0.2.txt
16,0.3,375700,375700,18785,100,L16_J0.3.txt
16,0.4,375700,375700,18785,100,L16_J0.4.txt
16,0.5,375700,375700,18785,100,L16_J0.5.txt
16,0.6,375700,375700,18785,100,L16_J0.6.txt
16,0.7,375700,375700,18785,100,L16_J0.7.txt
16,0.8,375700,375700,18785,100,L16_J0.8.txt
16,0.9,375700,375700,18785,100,L16_J0.9.txt
16,1.0,375700,375700,18785,100,L16_J1.0.txt
16,1.1,375700,375700,18785,100,L16_J1.1.txt
16,1.2,375700,375700,18785,100,L16_J1.2.txt
16,1.3,375700,375700,18785,100,L16_J1.3.txt
16,1.4,375700,375700,18785,100,L16_J1.4.txt